"id","Carats","Cert","Clarity","Color","Cut","Depth","Fluroescence","Known_Conflict_Diamond","Measurements","Polish","Regions","Shape","Symmetry","Table","Vendor","Price","Retail","LogPrice","LogRetail"
1187,0.53,"AGSL","SI1","F"," ",61.7,"None",FALSE,"5.22x5.25x3.23","Very good","Other/Unknown","Round","Good",NA,1,"$ 2,035","$ 3,355",7.6182510978767,8.11820704940578
1188,0.7,"AGSL","VS2","J"," ",62.4,"None",FALSE,"5.67x5.62x3.52","Excellent","Canada","Round","Very good",61,1,"$ 2,035","$ 3,355",7.6182510978767,8.11820704940578
1189,0.6,"AGSL","SI1","G"," ",61.3,"None",FALSE,"5.43x5.4x3.32","Excellent","Russia","Emerald","Very good",59,1,"$ 2,035","$ 3,355",7.6182510978767,8.11820704940578
1190,0.53,"GemEx","VS1","D"," ",NA," ",TRUE,"5.37x5.4x3.08","Good","DR Congo","Marquise","Good",61,1,"$ 1,985","$ 475",7.59337419312129,6.16331480403464
1191,0.6,"AGSL","VS1","I"," ",63.1,"None",FALSE,"5.37*5.35x3.38","Very good","Botswana","Pear","Excellent",56,1,"$ 2,035","$ 3,325",7.6182510978767,8.10922495308995
1192,0.6,"AGSL","VVS2","I"," ",62.6,"Faint",FALSE,"5.39x5.36x3.36","Excellent","DR Congo","Round","Very good",58,1,"$ 2,050","$ 3,000",7.62559507213245,8.00636756765025
1193,0.52,"AGSL","VS2","G"," ",58.8,"None",FALSE,"5.27x5.28x3.1"," ","Russia","Princess"," ",61,1,"$ 2,055","$ 3,390",7.62803112693033,8.1285852003745
1194,0.62,"AGSL","SI2","E"," ",NA,"None",FALSE,"5.49x5.47x3.43","Very good","Canada","Round","Excellent",NA,1,"$ 2,060","$ 3,400",7.63046126178363,8.13153071060425
1195,0.71,"AGSL","VS2","J"," ",63,NA,FALSE,"5.64x5.62x3.55","Very good","Botswana","Round","Excellent",NA,1,"$ 2,060","$ 1,995",7.63046126178363,7.59839932932396
1196,0.51,"AGSL","VVS1","H"," ",57.8,"None",FALSE,"5.21x5.26x3.02","Very good","Russia","Round","Very good",62,1,"$ 2,060","$ 3,395",7.63046126178363,8.1300590399928
1197,0.62,"AGSL","SI1","H"," ",62,"None",FALSE,"5.48*5.45x3.39","Excellent","South Africa","Round","Excellent",58,1,"$ 2,065","$ 3,200",7.63288550539513,8.07090608878782
1198,0.51,"AGSL","VS2","G"," ",62,"None",FALSE,"5.09x5.13*3.17"," ","Botswana","ROUND"," ",57,1,"$ 2,065","$ 3,165",7.63288550539513,8.05990833457828
1199,0.51,"AGSL","VS2","F"," ",60.4,"None",FALSE,"5.19x5.16x3.13","Excellent","Botswana","Round","Excellent",NA,1,"$ 2,070","$ 2,605",7.63530388625941,7.86518795418747
1200,0.61,"AGSL","SI1","G"," ",61.9,"None",FALSE,"5.45x5.43x3.37","Excellent","Russia","Round","Very good",59,1,"$ 2,070","$ 3,415",7.63530388625941,8.13593277200489
1201,0.53,"AGSL","SI1","D"," ",60.4,"None",FALSE,"5.28x5.25x3.18","Excellent","Botswana","Round","Excellent",58,1,"$ 2,070","$ 3,405",7.63530388625941,8.13300021858361
1202,0.53,"AGSL","SI1","D"," ",61,"None",FALSE,"5.22x5.2x3.18","Excellent","South Africa","Round","Excellent",NA,1,"$ 2,070","$ 3,405",7.63530388625941,8.13300021858361
1203,0.51,"AGSL","VS1","G"," ",61.8,"Faint",FALSE,"5.14x5.12x3.17","Excellent","DR Congo","Round","Excellent",NA,1,"$ 2,070","$ 3,260",7.63530388625941,8.08948247436075
1204,0.51,"AGSL","VS1","G"," ",60.8,"None",FALSE,"5.18x5.16x3.14","Excellent","Botswana","Asscher","Excellent",NA,1,"$ 2,070","$ 3,280",7.63530388625941,8.09559870137819
1205,0.63,"AGSL","SI2","E"," ",NA,"None",FALSE,"5.45x5.47x3.41"," ","Russia","Emerald"," ",56,1,"$ 2,070","$ 3,410",7.63530388625941,8.13446757027756
1206,0.53,"AGSL","SI1","E"," ",57.5,"None",FALSE,"5.34x5.37x3.08","Excellent","South Africa","Pear","Very good",NA,1,"$ 2,070","$ 3,270",7.63530388625941,8.0925452638913
1207,0.51,"AGSL","VS2","F"," ",61.6,"None",FALSE,"5.16x5.13x3.17","Excellent","DR Congo","Round","Excellent",56,1,"$ 2,070","$ 3,330",7.63530388625941,8.11072758297449
1208,0.5,"AGSL","VS2","E"," ",62.4,"None",FALSE,"5.11x5.04x3.17","Very good","Russia","Round","Very good",58,1,"$ 2,075","$ 3,420",7.6377164326648,8.13739583005665
1209,0.77,"AGSL","VS1","M"," ",59.6,"Medium Bl..",FALSE,"5.92x5.95x3.54","Very good","Botswana","Round","Very good",60,1,"$ 2,080","$ 3,325",7.64012317269536,8.10922495308995
1210,0.56,NA,"SI1","G"," ",61.7,"None",FALSE,"5.29x5.31x3.27","Excellent","Australia","Oval ","Excellent",58,1,"$ 1,440","$ 2,800",7.27239839257005,7.9373746961633
1211,0.62,"GemEx","SI2","E"," ",NA,"Faint",FALSE,"5.59x5.57x3.34","Excellent","Canada","Round","Excellent",NA,1,"$ 2,085","$ 3,440",7.6425241342329,8.14322675036744
1212,0.51,"AGSL","VS1","G"," ",62.4,NA,FALSE,"5.1x5.12x3.19"," ","Russia","Princess"," ",56,1,"$ 2,095","$ 2,955",7.64730883235624,7.9912539298402
1213,0.52,"AGSL","VVS2","G"," ",NA,"Strong Bl..",FALSE,"5.2x5.18x3.19","Excellent","Russia","Marquise","Excellent",57,1,"$ 2,100","$ 3,460",7.64969262371151,8.14902386805177
1214,0.7,"AGSL","VS1","J"," ",NA,"None",FALSE,"5.7x5.65x3.55","Excellent","Russia","Round","Excellent",NA,1,"$ 2,100","$ 3,465",7.64969262371151,8.150467911624
1215,0.71,"AGSL","VS1","J"," ",62.8,"None",FALSE,"5.67x5.6x3.54","Very good","Angola","Marwuise","Very good",58,1,"$ 1,675","$ 3,470",7.42356844425917,8.15190987294091
1216,0.52,"GemEx","VS2","G"," ",62.4,"None",FALSE,"5.11x5.13x3.19"," ","South Africa","Radiant"," ",58,1,"$ 2,105","$ 3,145",7.65207074611648,8.05356916913454
1217,0.51,"AGSL","VS2","E"," ",61.2,NA,FALSE,"5.18x5.16x3.16","Excellent","Botswana","Round","Very good",58,1,"$ 2,115","$ 1,625",7.65681009148038,7.39326309476384
1218,0.51,"AGSL","VVS2","G"," ",61.5,"None",FALSE,"5.17x5.14x3.17","Excellent","Botswana","Marquise","Excellent",NA,1,"$ 2,115","$ 3,225",7.65681009148038,8.07868822922987
1219,0.71,"AGSL","VS2","J"," ",62.2,"None",FALSE,"5.75x5.72x3.57","Excellent","Canada","Round","Excellent",57,1,"$ 2,115","$ 3,490",7.65681009148038,8.15765701519647
1220,0.5,"AGSL","VS1","F"," ",63.8,"Faint",FALSE,"5.05x5.01x3.21","Very good","Botswana","Round","Very good",55,1,"$ 2,115","$ 3,475",7.65681009148038,8.15334975799889
1221,0.72,"AGSL","VS2","J"," ",62.5,"None",FALSE,"5.76x5.74x3.59","Excellent","Botswana","Round","Excellent",56,1,"$ 2,120","$ 3,475",7.65917136766606,8.15334975799889
1222,0.5,"AGSL","VVS2","E"," ",59.5,"None",FALSE,"5.19x5.15x3.08","Excellent","Russia","Round","Very good",58,2,"$ 2,125","$ 3,505",7.66152708135852,8.16194579946869
1223,0.5,"AGSL","VS2","E"," ",62.1,"None",FALSE,"5.11x5.07x3.16","Excellent","Russia","Round","Excellent",NA,1,"$ 2,130","$ 3,515",7.66387725870347,8.16479480424477
1224,0.71,"AGSL","VS1","J"," ",61.3,NA,FALSE,"5.78x5.73+3.53","Very good","Russia","Round","Very good",59,1,"$ 2,135","$ 3,430",7.66622192566273,8.14031554015999
1225,0.63,"AGSL","SI1","G"," ",62.4,"Faint",FALSE,"5.5x5.47x3.42","Excellent","Russia","Oval","Very good",57,1,"$ 2,135","$ 3,525",7.66622192566273,8.16763571524637
1226,0.54,"AGSL","VS2","G"," ",62.4,"None",FALSE,"5.19x5.22x3.25"," ","Botswana","Emerald"," ",NA,1,"$ 2,135","$ 3,470",7.66622192566273,8.15190987294091
1227,0.71,"AGSL","VVS1","L"," ",NA,"Faint",FALSE,"5.75x5.79x3.49","Very good","DR Congo","Round","Very good",NA,1,"$ 2,135","$ 3,365",7.66622192566273,8.12118324207883
1228,0.6,"AGSL","SI1","F"," ",NA,"Faint",FALSE,"5.37x5.34x3.41","Excellent","Australia","Round","Very good",55,1,"$ 2,140","$ 3,530",7.6685611080159,8.16905314992734
1229,0.71,NA,"VVS2","J"," ",62.4,"None",FALSE,"5.72*5.68x3.56","Excellent","Australia","Radiant","Excellent",56,1,"$ 1,500","$ 2,945",7.3132203870903,7.98786409608569
1230,0.5,"AGSL","VS1","D"," ",62.6,"Medium Bl..",FALSE,"5.06x5.03x3.16","Excellent","South Africa","Pear","Excellent",60,1,"$ 2,145","$ 3,530",7.67089483136212,8.16905314992734
1231,0.51,"AGSL","VS2","E"," ",59.6,"None",FALSE,"5.19x5.22x3.1"," ","Russia","Round"," ",62,1,"$ 2,145","$ 3,535",7.67089483136212,8.17046857833067
1232,0.53,"GemEx","VS2","F"," ",59.9,NA,FALSE,"5.27x5.25x3.15","Excellent","DR Congo","Round","Excellent",NA,1,"$ 2,150","$ 3,240",7.67322312112171,8.08332860878638
1233,0.5,"AGSL","VS1","E"," ",63,"None",FALSE,"5.07x5.03x3.18","Very good","Australia","Round","Very good",NA,1,"$ 2,150","$ 3,545",7.67322312112171,8.17329343896623
1234,0.62,"AGSL","VS1","I"," ",61.2,NA,FALSE,"5.51x5.49x3.37","Excellent","Australia","Radiant","Excellent",58,1,"$ 2,155","$ 3,470",7.67554600253785,8.15190987294091
1235,0.56,"AGSL","VS2","G"," ",NA,NA,FALSE,"5.39x5.36x3.25","Excellent","Canada","Princess","Excellent",NA,1,"$ 2,155","$ 3,270",7.67554600253785,8.0925452638913
1236,0.5,"AGSL","VS2","E"," ",59.6,NA,FALSE,"5.19x5.21x3.1"," ","Russia","Emerald"," ",61,1,"$ 2,160","$ 2,680",7.67786350067821,7.8935720735049
1237,0.5,"AGSL","VS2","E"," ",NA,"None",FALSE,"5.14x5.12x3.15","Excellent","Botswana","Radiant","Excellent",NA,1,"$ 2,160","$ 3,115",7.67786350067821,8.04398443122155
1238,0.57,"AGSL","SI1","D"," ",62.5," ",FALSE,"5.31x5.34x3.33","Excellent","DR Congo","Round","Very good",54,1,"$ 2,000","$ 3,480",7.60090245954208,8.15478757276852
1239,0.55,"AGSL","VS1","H"," ",60.7,"None",FALSE,"5.27x5.31+3.21"," ","Australia","Round"," ",61,2,"$ 2,165","$ 3,575",7.68017564043659,8.18172045512811
1240,0.63,"AGSL","VS1","I"," ",NA,"None",TRUE,"5.55x5.53x3.36","Excellent","DR Congo","Princess","Excellent",60,1,"$ 2,165","$ 410",7.68017564043659,6.01615715969835
1241,0.55,"AGSL","VS1","H"," ",NA,"None",FALSE,"5.24x5.29*3.27"," ","Australia","Round"," ",NA,1,"$ 2,165","$ 3,575",7.68017564043659,8.18172045512811
1242,0.53,"AGSL","VS2","E"," ",NA,"None",FALSE,"5.22x5.19x3.23","Excellent","South Africa","Oval","Very good",58,1,"$ 2,170","$ 3,510",7.68248244653451,8.16337131645991
1243,0.61,"AGSL","SI1","F"," ",NA,"None",TRUE,"5.34x5.3x3.38","Excellent","Angola","Round","Excellent",59,1,"$ 2,175","$ 415",7.68478394352278,6.0282785202307
1244,0.51,"AGSL","VS2","E"," ",60.7,"None",FALSE,"5.17x5.16x3.14","Excellent","Botswana","Round","Excellent",57,1,"$ 2,175","$ 3,165",7.68478394352278,8.05990833457828
1245,0.53,"GemEx","VS2","F"," ",62.3,NA,FALSE,"5.21x5.18x3.24","Excellent","Russia","Pear","Excellent",NA,1,"$ 2,180","$ 3,500",7.68708015578313,8.1605182474775
1246,0.5,"AGSL","VS1","E"," ",63.1,"Faint",FALSE,"5.07x5.03x3.18","Excellent","Angola","Round","Excellent",NA,1,"$ 2,180","$ 3,595",7.68708015578313,8.18729927015515
1247,0.54,"AGSL","VS2","E"," ",61,NA,FALSE,"5.27x5.25x3.21","Excellent","Russia","Oval","Excellent",NA,1,"$ 2,180","$ 3,590",7.68708015578313,8.18590748148232
1248,0.52,"AGSL","VS2","E"," ",62.3,"None",FALSE,"5.15x5.18x3.22"," ","Botswana","Oval"," ",57,1,"$ 2,185","$ 3,600",7.68937110752969,8.1886891244442
1249,0.5,"AGSL","VS1","G"," ",61.2,"None",FALSE,"5.11x5.17x3.14"," ","Russia","Round"," ",58,2,"$ 2,190","$ 3,610",7.69165682281055,8.19146305132693
1250,0.5,"AGSL","VS1","G"," ",62.3,"None",FALSE,"5.08x5.12x3.18"," ","South Africa","Round"," ",58,1,"$ 2,190","$ 3,205",7.69165682281055,8.07246736935477
1251,0.5,NA,"VS1","G"," ",60.8,"None",FALSE,"5.13x5.15x3.13"," ","Australia","Asscher"," ",61,1,"$ 1,905","$ 2,780",7.5522372875608,7.93020620668468
1252,0.5,"AGSL","VS1","G"," ",60.1,"None",FALSE,"5.14x5.17x3.1"," ","Russia","Cushion"," ",62,2,"$ 2,190","$ 3,610",7.69165682281055,8.19146305132693
1253,0.5,"AGSL","VS1","G"," ",NA,NA,FALSE,"5.13x5.16x3.11"," ","Russia","Round"," ",NA,1,"$ 2,190","$ 2,955",7.69165682281055,7.9912539298402
1254,0.51,"AGSL","VS2","D"," ",NA," ",FALSE,"5.24*5.31x3.05","Good","Botswana","Asscher","Good",61,2,"$ 1,875","$ 3,390",7.53636393840451,8.1285852003745
1255,0.51,"AGSL","VS1","E"," ",NA,"None",FALSE,"5.22x5.23x3.07"," ","Australia","Princess"," ",61,1,"$ 2,190","$ 3,615",7.69165682281055,8.19284713459287
1256,0.51,"AGSL","VS1","E"," ",62.1,"Medium Bl..",FALSE,"5.12x5.08x3.17","Excellent","Canada","Round","Excellent",NA,1,"$ 2,190","$ 3,615",7.69165682281055,8.19284713459287
1257,0.63,"AGSL","VS1","I"," ",NA,NA,FALSE,"5.5x5.48x3.43","Excellent","Australia","Round","Excellent",57,2,"$ 2,190","$ 2,865",7.69165682281055,7.96032362914884
1258,0.5,"AGSL","VVS2","F"," ",63.9,NA,FALSE,"5.04x5.01x3.21","Excellent","Canada","Round","Very good",56,1,"$ 2,195","$ 2,985",7.69393732550927,8.0013550258267
1259,0.59,NA,"SI1","G"," ",62.8,"None",FALSE,"5.31x5.35x3.35","Excellent","Botswana","Round","Excellent",55,1,"$ 1,605","$ 2,780",7.38087903556412,7.93020620668468
1260,0.51,"AGSL","VS2","E"," ",60.1,"None",FALSE,"5.2x5.24*3.14"," ","Russia","Round"," ",61,2,"$ 2,200","$ 3,630",7.69621263934641,8.1969879272589
1261,0.5,"AGSL","VS2","D"," ",NA,NA,FALSE,"5.07x5.03x3.17","Excellent","Russia","Round","Very good",55,1,"$ 2,210","$ 3,575",7.7007477945118,8.18172045512811
1262,0.5,"AGSL","VS1","E"," ",NA,"None",FALSE,"5.07x5.02x3.19","Excellent","Angola","Round","Excellent",NA,1,"$ 2,210","$ 3,645",7.7007477945118,8.20111164444276
1263,0.5,"AGSL","VS2","D"," ",60.6,"Faint",FALSE,"5.16x5.14x3.12","Excellent","Botswana","Princess","Very good",55,1,"$ 2,210","$ 3,520",7.7007477945118,8.16621626859214
1264,0.5,"AGSL","VS2","D"," ",61.1,"None",FALSE,"5.13x5.12x3.13","Excellent","Australia","Oval","Very good",55,1,"$ 2,210","$ 3,645",7.7007477945118,8.20111164444276
1265,0.5,"AGSL","VS1","E"," ",62.8,NA,FALSE,"5.05x5.01x3.16","Excellent","Russia","Round","Excellent",59,2,"$ 2,210","$ 1,750",7.7007477945118,7.46737106691756
1266,0.5,"AGSL","VS2","D"," ",61.8,NA,FALSE,"5.16X5.12x3.18","Excellent","Australia","Princess","Very good",NA,1,"$ 2,210","$ 3,645",7.7007477945118,8.20111164444276
1267,0.52,"AGSL","VS2","E"," ",61.7,"None",FALSE,"5.19x5.18x3.2","Excellent","Russia","Pear","Excellent",58,1,"$ 2,215","$ 3,655",7.70300768247924,8.20385137218388
1268,0.61,"AGSL","VS2","H"," ",62.5,"Strong Bl..",FALSE,"5.43x5.4x3.38","Excellent","Zimbabwe","Radiant","Excellent",57,1,"$ 2,215","$ 3,445",7.70300768247924,8.14467918344776
1269,0.54,"AGSL","VS1","E"," ",61.4,"Medium Bl..",FALSE,"5.29x5.23x3.23","Very good","Russia","Marquise","Very good",58,1,"$ 2,220","$ 3,665",7.70526247486633,8.20658361432075
1270,0.7,"AGSL","SI2","H"," ",64.2,"None",FALSE,"5.59x5.53x3.57","Very good","South Africa","Emerald","Very good",57,1,"$ 2,220","$ 3,425",7.70526247486633,8.13885675069633
1271,0.6,"AGSL","SI1","F"," ",NA,"None",FALSE,"5.42x5.38x3.37","Excellent","Russia","Round","Excellent",NA,1,"$ 2,220","$ 3,660",7.70526247486633,8.20521842639541
1272,0.6,"AGSL","SI1","F"," ",62.5,NA,FALSE,"5.42x5.39x3.37","Excellent","Russia","Round","Excellent",56,1,"$ 2,220","$ 3,120",7.70526247486633,8.04558828080353
1273,0.61,"AGSL","SI1","H","Very good",63.9,"None",FALSE,"5.31x5.35x3.41","Very good","Angola","Princess","Excellent",57,1,"$ 2,225","$ 3,250",7.70751219460034,8.08641027532378
1274,0.7,"AGSL","SI1","I"," ",64.3,"None",FALSE,"5.61x5.56x3.59","Very good","Botswana","Round","Very good",NA,1,"$ 2,225","$ 3,525",7.70751219460034,8.16763571524637
1275,0.5,"AGSL","VS1","F"," ",NA,"None",FALSE,"5.14x5.12x3.12","Excellent","South Africa","Oval","Excellent",60,1,"$ 2,230","$ 3,550",7.70975686445416,8.17470288246946
1276,0.55,"AGSL","VS1","G"," ",62.9,"Faint",FALSE,"5.24x5.21x3.29","Excellent","Zimbabwe","Pear","Excellent",56,1,"$ 2,230","$ 3,670",7.70975686445416,8.20794694104862
1277,0.77,NA,"VVS2","L"," ",62.2,"Medium Bl..",FALSE,"5.81x5.84x3.62","Very good","Russia","Cushion","Excellent",59,1,"$ 2,125","$ 2,285",7.66152708135852,7.7341213033283
1278,0.63,"AGSL","SI2","D"," ",62.6,"None",FALSE,"5.49x5.48x3.43","Excellent","South Africa","Round","Excellent",56,1,"$ 2,235","$ 3,110",7.71199650704767,8.04237800517328
1279,0.72,"AGSL","VVS2","J"," ",61.1,"Medium Bl..",FALSE,"5.79x5.75x3.53","Excellent","Russia","Round","Excellent",58,1,"$ 2,235","$ 3,685",7.71199650704767,8.21202580462344
1280,0.5,"AGSL","VS1","E"," ",NA,"None",FALSE,"5.06x5x3.19","Excellent","Australia","Radiant","Very good",56,1,"$ 2,240","$ 3,695",7.71423114484909,8.2147358333823
1281,0.53,"AGSL","VS1","F"," ",62.3,"Faint",FALSE,"5.2x5.17x3.23","Excellent","Russia","Princess","Excellent",NA,1,"$ 2,240","$ 3,695",7.71423114484909,8.2147358333823
1282,0.5,NA,"VS2","E"," ",60.9,"None",FALSE,"5.1x5.14x3.12"," ","Russia","Round"," ",61,1,"$ 2,075","$ 2,890",7.6377164326648,7.96901178110648
1283,0.5,"AGSL","VS1","E"," ",62.9,"None",FALSE,"5.04x5.02x3.16","Very good","Angola","Round","Very good",59,1,"$ 2,240","$ 3,695",7.71423114484909,8.2147358333823
1284,0.5,"AGSL","VS1","D"," ",62.4,"None",FALSE,"5.09x5.04x3.16","Excellent","Russia","Oval ","Good",56,2,"$ 1,660","$ 3,700",7.41457288135059,8.21608809863232
1285,0.5,"AGSL","VS2","D"," ",62,"None",TRUE,"5.1x5.08x3.15","Very good","Angola","Emerald","Very good",NA,1,"$ 2,240","$ 380",7.71423114484909,5.94017125272043
1286,0.52,"AGSL","VS2","E"," ",59.4,"None",FALSE,"5.26x5.23x3.12","Excellent","Russia","Oval","Excellent",NA,1,"$ 2,245","$ 3,700",7.71646080017636,8.21608809863232
1287,0.6,"AGSL","SI1","E"," ",NA,"None",FALSE,"5.41-5.4+3.37","Very good","Australia","Round","Very good",NA,1,"$ 2,250","$ 3,710",7.71868549519847,8.21878715560148
1288,0.57,"AGSL","VS2","G"," ",61.8,"None",FALSE,"5.32x5.37x3.3"," ","Australia","Round"," ",54,1,"$ 2,250","$ 3,715",7.71868549519847,8.22013395715186
1289,0.6,"AGSL","SI1","E"," ",63.6,"None",TRUE,"5.37x5.31x3.39","Very good","Zimbabwe","Oval ","Good",NA,1,"$ 1,890","$ 430",7.54433210805369,6.06378520868761
1290,0.6,"AGSL","SI1","D"," ",61.3,"Strong Bl..",FALSE,"5.44x5.4x3.32","Very good","Botswana","Radiant","Very good",NA,1,"$ 2,250","$ 3,690",7.71868549519847,8.21338173703457
1291,0.61,"AGSL","SI1","F"," ",61.9,"None",FALSE,"5.45x5.43x3.37","Excellent","Australia","Round","Excellent",58,1,"$ 2,255","$ 3,720",7.72090525193678,8.22147894726719
1292,0.5,"AGSL","VVS2","E"," ",63,"None",FALSE,"5.07x5.03x3.18","Very good","Botswana","Princess","Very good",NA,1,"$ 2,255","$ 3,550",7.72090525193678,8.17470288246946
1293,0.61,NA,"SI1","F"," ",62.1,NA,FALSE,"5.46x5.43x3.39","Excellent","Canada","Pear","Excellent",56,1,"$ 2,075","$ 2,030",7.6377164326648,7.61579107203583
1294,0.61,"AGSL","SI1","F"," ",62.4,"None",FALSE,"5.43x5.4x3.38","Excellent","DR Congo","Pear","Excellent",58,2,"$ 2,255","$ 3,070",7.72090525193678,8.02943284058124
1295,0.56,"AGSL","VS2","E"," ",62.1,"Faint",FALSE,"5.31*5.29x3.29","Very good","Botswana","Round","Good",56,1,"$ 2,260","$ 3,565",7.72312009226633,8.1789193328484
1296,0.5,"GemEx","VVS2","F"," ",62.3,"None",FALSE,"5.11x5.07x3.17","Excellent","Canada","Radiant","Very good",NA,1,"$ 2,260","$ 3,725",7.72312009226633,8.22282213081366
1297,0.53,"AGSL","VS2","F"," ",61.3,NA,FALSE,"5.19x5.21x3.19"," ","Botswana","Round"," ",60,1,"$ 2,265","$ 3,240",7.72533003791713,8.08332860878638
1298,0.5,"AGSL","VS1","E"," ",61.2,NA,FALSE,"5.12x5.1x3.13","Excellent","Other/Unknown","Round","Very good",NA,1,"$ 2,270","$ 3,680",7.72753511047545,8.21066803116298
1299,0.5,"AGSL","VS2","D"," ",62.5,"Faint",FALSE,"5.06x5.02x3.15","Excellent","Australia","Round","Very good",58,1,"$ 2,270","$ 3,745",7.72753511047545,8.22817689595132
1300,0.5,"AGSL","VS2","F"," ",61.6,"None",FALSE,"5.11x5.14x3.16"," ","South Africa","Round"," ",58,1,"$ 2,270","$ 3,495",7.72753511047545,8.15908865466791
1301,0.5,"AGSL","VS2","D"," ",62.3,"None",TRUE,"5.08x5.04x3.15","Very good","Angola","Oval ","Very good",56,2,"$ 1,665","$ 395",7.41758040241454,5.97888576490112
1302,0.5,"AGSL","VS2","D"," ",60.8,"None",FALSE,"5.16x5.13x3.13","Excellent","Angola","Round","Very good",57,2,"$ 2,270","$ 3,745",7.72753511047545,8.22817689595132
1303,0.6,"AGSL","VS1","H"," ",63.2,"Faint",FALSE,"5.37x5.34x3.38","Excellent","Zimbabwe","Round","Very good",NA,1,"$ 2,275","$ 3,745",7.72973533138505,8.22817689595132
1304,0.53,"AGSL","VS2","E"," ",59.6,NA,FALSE,"5.27x5.3x3.15"," ","Russia","Round"," ",NA,1,"$ 2,285","$ 2,130",7.7341213033283,7.66387725870347
1305,0.51,"AGSL","VS1","E"," ",62.5,"None",FALSE,"5.13x5.08x3.2","Very good","Angola","Round","Very good",57,1,"$ 2,285","$ 3,770",7.7341213033283,8.23483028044206
1306,0.61,"AGSL","SI1","F"," ",61.6,"None",FALSE,"5.46x5.48x3.37"," ","Australia","Round"," ",57,1,"$ 2,285","$ 3,765",7.7341213033283,8.23350314023399
1307,0.5,"AGSL","VVS2","E"," ",NA,NA,FALSE,"5.09x5.06x3.19","Excellent","Russia","Round","Excellent",57,1,"$ 2,290","$ 3,315",7.73630709654828,8.10621290261996
1308,0.5,"AGSL","VS2","D"," ",NA,"None",FALSE,"5.1x5.07x3.17","Excellent","Russia","Round","Very good",55,1,"$ 2,300","$ 3,795",7.74066440191724,8.24143968982973
1309,0.56,"AGSL","VS2","F"," ",NA,"Faint",FALSE,"5.32x5.3x3.29","Excellent","Canada","Princess","Excellent",NA,2,"$ 2,300","$ 3,795",7.74066440191724,8.24143968982973
1310,0.7,"AGSL","SI2","E"," ",66,"Medium Bl..",FALSE,"5.57x5.53x3.66","Very good","Australia","Round","Good",NA,2,"$ 2,300","$ 3,790",7.74066440191724,8.24012129807647
1311,0.6,"AGSL","VVS1","I"," ",61.6,NA,FALSE,"5.43x5.45x3.35"," ","Russia","Round"," ",56,1,"$ 2,300","$ 3,325",7.74066440191724,8.10922495308995
1312,0.51,NA,"VS1","F"," ",62.4,"None",FALSE,"5.12x5.1x3.19","Excellent","Russia","Round","Excellent",NA,1,"$ 2,110","$ 3,420",7.65444322647011,8.13739583005665
1313,0.6,"AGSL","SI1","E"," ",59.6,"None",FALSE,"5.52x5.48x3.28","Very good","Botswana","Round","Very good",59,1,"$ 2,305","$ 3,640",7.74283595543075,8.19973896063079
1314,0.5,"AGSL","VS1","D"," ",63.6,"None",FALSE,"5.05x5x3.2","Excellent","Angola","Princess","Very good",56,1,"$ 2,305","$ 3,805",7.74283595543075,8.24407127029579
1315,0.61,"AGSL","VS2","G"," ",63.4,"None",FALSE,"5.37x5.4x3.42"," ","Botswana","Round"," ",55,1,"$ 2,320","$ 2,850",7.74932246466036,7.9550742732627
1316,0.81,NA,"SI2","J","Excellent",62.5,NA,FALSE,"5.91x5.96x3.71","Excellent","DR Congo","Round","Very good",58,1,"$ 1,970","$ 3,010",7.58578882173203,8.00969535774292
1317,0.52,"AGSL","VS1","D"," ",NA," ",FALSE,"5.09x5.16x3.27","Good","Other/Unknown","Round","Good",59,1,"$ 1,980","$ 3,845",7.59085212368858,8.25452888193974
1318,0.5,"AGSL","VS1","E"," ",61,"None",FALSE,"5.11x5.09x3.11","Excellent","DR Congo","Round","Excellent",NA,2,"$ 2,335","$ 3,835",7.755767170103,8.25192471380136
1319,0.5,"AGSL","VS2","D"," ",NA,"None",FALSE,"5.08x5.04x3.15","Very good","Angola","Round","Excellent",60,1,"$ 2,335","$ 3,850",7.755767170103,8.25582842728183
1320,0.53,"AGSL","VS2","D"," ",61.9,"None",FALSE,"5.19x5.15x3.2","Excellent","Russia","Emerald","Very good",55,1,"$ 2,340","$ 3,865",7.75790620835175,8.25971696102152
1321,0.51,"AGSL","VVS2","G"," ",61.3,"None",FALSE,"5.13x5.15x3.15"," ","Australia","Oval "," ",NA,1,"$ 1,975","$ 3,865",7.58832367733522,8.25971696102152
1322,0.61,"AGSL","SI1","E"," ",61.8,NA,FALSE,"5.43x5.47x3.37"," ","Russia","Oval"," ",55,2,"$ 2,345","$ 3,320",7.76004068088038,8.10772006191053
1323,0.51,NA,"VS2","D"," ",61.6,"None",FALSE,"5.15X5.09x3.15","Excellent","Other/Unknown","Round","Very good",59,1,"$ 1,865","$ 2,400",7.53101633207792,7.78322401633604
1324,0.5,"AGSL","VS1","F"," ",62.8,NA,FALSE,"5.03x5.07x3.17"," ","Botswana","Round"," ",57,1,"$ 2,350","$ 3,385",7.7621706071382,8.12710918534638
1325,0.5,"GemEx","VVS2","D"," ",64.7,NA,FALSE,"4.98x4.94x3.21","Very good","Botswana","Round","Excellent",59,1,"$ 2,350","$ 3,520",7.7621706071382,8.16621626859214
1326,0.5,"AGSL","VS1","F"," ",59.2,NA,FALSE,"5.2x5.21*3.08"," ","Botswana","Round"," ",60,1,"$ 2,350","$ 3,025",7.7621706071382,8.01466637046494
